"","series_name","meta_mape","rw_drift_mape","arima_mape","ets_mape","nn_mape","tbats_mape","stlm_mape","thetaf_mape","naive_mape","snaive_mape"
"1","MSCI US Equity",0.0336269725313473,0.0280148200998,0.02899685249468,0.036883947935608,0.0495218930992006,0.0368782425905285,0.471489062661472,0.0331687299243398,0.0369187421825101,0.0369187421825101
"2","MXEUG Index",0.0229368154867098,0.0214138051747051,0.0233916179621276,0.0232000744897151,0.0374643073364052,0.0218106340403899,0.214747640786004,0.0228623033383242,0.0229346138932466,0.0229346138932466
"3","MXGB Index",0.0153426346898758,0.0149578806594564,0.0150661653114949,0.0153503109797409,0.0248200874694213,0.0153505461488395,0.0261066891053738,0.0150365910157798,0.0154121879318413,0.0154121879318413
"4","MXJP Index",0.0351031578415124,0.0354284956210668,0.0354196124990589,0.0350496746640751,0.0307652420995097,0.0351878053911671,0.178679692445332,0.0352501970064043,0.0354196124990589,0.0354196124990589
"5","MXPCJ Index",0.00825007187680376,0.00992918159107379,0.00776562198421666,0.00777393827364611,0.00807489716699228,0.00791252155437619,0.188255143587754,0.0088848074315507,0.00795421999994846,0.00795421999994846
"6","MXEF Index",0.0330544048229566,0.0305081795870922,0.0358596435774396,0.0347258820960483,0.030335287014447,0.030418116593675,0.220396821530847,0.0318522623378289,0.0347866155758969,0.0347866155758969
"7","SPXL1 Index",0.0181804033515911,0.0151971253132102,0.0184652478761088,0.0183137816841275,0.0223271457517194,0.018313685821151,0.34441048712708,0.0170993630587734,0.0180157902941689,0.0180157902941689
"8","SPXT Index",0.0199750591234145,0.0164930509272295,0.0225758920980647,0.0206202295538653,0.0444954644019175,0.0105374350621566,0.411095332841212,0.0189655633504059,0.0203340060185874,0.0203340060185874
"9","NDDLJN Index",0.0362135498044497,0.0344328694705815,0.0358332345958311,0.0356119705330719,0.0463816880209522,0.0357104274200913,0.267486239588238,0.0351853259798435,0.0358332345958311,0.0358332345958311
"10","MXUS0CS Index",0.0134063260614803,0.0104935835674864,0.0103263310003882,0.0140980008012666,0.0319372808692159,0.0140844460503315,0.379423381569716,0.0118554107845651,0.0142280603137364,0.0142280603137364
"11","MXUS0UT Index",0.0238128910579113,0.0192544204768819,0.0219308854332188,0.0216675165734239,0.0504223285579723,0.0216517903377149,0.283888912320419,0.0202684127408423,0.0219308854332188,0.0219308854332188
"12","MXUS0TC Index",0.0495272451519951,0.0421849743341097,0.0600535836012983,0.0516534807677668,0.0297687803157977,0.0514032039511019,0.0736405640065611,0.0507134983496196,0.0509125619737218,0.0509125619737218
"13","MXUS0HC Index",0.029078941740448,0.0217951133508508,0.0362763257158182,0.0257619047404142,0.0406570645219368,0.0257789088378134,0.394948192466796,0.024042406800479,0.0257680049997125,0.0257680049997125
"14","MXUS0EN Index",0.0478682151593236,0.0508901697262027,0.0454075792769132,0.0446770356400291,0.0591706344749554,0.045137368541717,0.105194013386584,0.0493459769669351,0.0465205678619349,0.0465205678619349
"15","MXUS0IT Index",0.0364872793640192,0.0374461190268267,0.0217044267314724,0.0399834880597445,0.0930831304136165,0.0399716177537574,0.435515771907188,0.0391559617352249,0.0397412350242776,0.0397412350242776
"16","MXUS0IN Index",0.0234999560174891,0.0189757048602907,0.0241473020541047,0.0234800153979446,0.0316242120315835,0.0234818318014645,0.369016815077262,0.0219136002259046,0.0229978748788242,0.0229978748788242
"17","MXUS0MT Index",0.0187345790662547,0.0152307251601236,0.0178177949291323,0.0178850526058622,0.0433229904703748,0.01788442424976,0.310988012288858,0.0163973338694653,0.0178177949291323,0.0178177949291323
"18","MXUS0CD Index",0.0201917617852683,0.0186822682377417,0.0100780682906166,0.0234628515873015,0.0502246233365123,0.023439372819416,0.429758009912283,0.02168686772739,0.0227463320046606,0.0227463320046606
"19","MXUS0FN Index",0.017130167886544,0.0170255585991256,0.0168116465663757,0.0170575823026347,0.0177099163026825,0.0170579784496092,0.165410405489116,0.0171459257744829,0.0171791559392905,0.0171791559392905
"20","SPBDUSBT Index",0.00591055301351868,0.00502984203072674,0.00476804868265962,0.00461853933233302,0.0139598646287675,0.0056213927492597,0.187431891895837,0.00684043052701127,0.00895754448388883,0.00895754448388883
"21","BUSC Index",0.013125338407307,0.0114577660331906,0.0114750996604221,0.0110353327023889,0.0210772140005402,0.0134462829871164,0.11896797119291,0.0143914297423561,0.0170270515620487,0.0170270515620487
"22","JUC0 Index",0.0223798531897144,0.0175880440125042,0.0184643511996623,0.0263138219665606,0.0441345533742919,0.0239792777747677,0.392055016412265,0.0201238627088737,0.0229717420880477,0.0229717420880477
"23","SPBDEGIT Index",0.0058421618115386,0.00484993568863003,0.00494680374826434,0.00491167345985654,0.0102239251600704,0.00738846410511518,0.236241282601054,0.00674449352161067,0.00883155691577471,0.00883155691577471
"24","BERC Index",0.00314619612329389,0.00209704220283735,0.00195528965016764,0.00208367979368124,0.00783384540628535,0.00472242971743845,0.103581806320625,0.00324082076268065,0.00552155918070667,0.00552155918070667
"25","BEUH Index",0.0102471840637032,0.00549348951568203,0.00549747108370009,0.0122840822314011,0.0238356340822308,0.0124866678444123,0.176955356257598,0.00901938503933001,0.0130413770340998,0.0130413770340998
"26","BCEE1T Index",0.00503495007948053,0.00467654032321632,0.0047124188506613,0.00463685613639764,0.00962736690341496,0.00490647729585901,0.25526955924269,0.0063633776018626,0.00864827396027767,0.00864827396027767
"27","LEATTREU Index",0.00521356028573595,0.00476547838029445,0.00481260709971123,0.00495861475367525,0.010481449420399,0.00438230758763746,0.262407287328313,0.00637547478191156,0.00861988695884699,0.00861988695884699
"28","FTSE All Share",0.0278613909841204,0.0233034998374071,0.0263927336191822,0.0266402157193872,0.0444959109993722,0.0288311250258855,0.21718132179487,0.0256112654171761,0.0264860283446434,0.0264860283446434
"29","MSCI World",0.00840875880936364,0.0100119656089097,0.00840686786145356,0.00839520890501789,0.00897172038537667,0.00862516982884434,0.237834240698135,0.00882065158730261,0.00840686786145356,0.00840686786145356
"30","BAML UK Gilt Index",0.0194195058028928,0.019336321748214,0.0192295754977963,0.0187186576628717,0.0315218820710478,0.0248230103905555,0.36997631769412,0.0179993724337522,0.017284256668225,0.017284256668225
"31","BAML UK I/L Gilt Index",0.0598076564375537,0.0615679875985529,0.0237048396597476,0.0640740559229236,0.0990680818901647,0.0566700102256983,0.428713353267103,0.0649098660732439,0.0667125503270402,0.0667125503270402
"32","BBBARC Global Agg Bond",0.0123958062561062,0.0134816001025259,0.0134816001025259,0.0132309691524037,0.0116760892936157,0.0129396034041462,0.218978907571265,0.0120444248588772,0.0102393290027138,0.0102393290027138
"33","FTSE UK Property",0.0167618048846506,0.00554335171363415,0.022660522600298,0.0170900853509754,0.00711661839559388,0.0171129369786123,0.186543111084591,0.00721814996320259,0.008495158688694,0.008495158688694
"34","HFRX Global Hedge Fund Index",0.00212280595914497,0.00253852226758578,0.0017659804272093,0.00175921716332822,0.00386700188058753,0.00191203917088384,0.00181925512055868,0.00363609968010801,0.00390094661595406,0.00390094661595406
